plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
emi20240105t145150p09004-A,-32.96271501446038,-70.7948460597627,2024-01-05T14:51:50+00,Solid Waste (6A),CH4,mfa,"[-70.8274463543705, -32.999579278638066, -70.75883379904302, -32.942513301513124]",emi,2024-02-13 19:54:45.625005+00:00,,,,,3526.2208710969476,263.0364630110934,3.6018518518518516,0.2686781134916095,293.6661962795516,2.3572719421047945,openmeteo,ISS,NASA-JPL EMIT
emi20240109t131423p08003-A,-32.955564413915305,-70.79758101260262,2024-01-09T13:14:23+00,Solid Waste (6A),CH4,mfa,"[-70.82667503680159, -32.97549494705235, -70.73228273994599, -32.89577496490665]",emi,2024-02-13 19:54:45.469904+00:00,,,,,986.9976503454473,393.3026540053006,1.4537037037037035,0.5792774933191501,335.8964865721193,28.68094777318256,openmeteo,ISS,NASA-JPL EMIT
emi20240112t185917p12016-A,-34.53168790499732,-58.619955297787456,2024-01-12T18:59:17+00,Solid Waste (6A),CH4,mfa,"[-58.665637846013745, -34.5580998691586, -58.597745410519025, -34.50216817190147]",emi,2024-02-28 03:33:50.875990+00:00,,,,,11811.633194392469,424.4254192413894,5.101851851851852,0.18332398030762384,84.66500913598082,3.8597066768239543,openmeteo,ISS,NASA-JPL EMIT
emi20240112t185917p12016-B,-34.52999426142153,-58.63041232615491,2024-01-12T18:59:17+00,Solid Waste (6A),CH4,mfa,"[-58.670920000702125, -34.557051863616834, -58.60243832967218, -34.50063386288461]",emi,2024-02-28 03:33:50.738138+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT
emi20240120t154941p10018-A,-34.52776832768573,-58.62263212272401,2024-01-20T15:49:41+00,Solid Waste (6A),CH4,mfa,"[-58.70253172373964, -34.56375860658375, -58.59825554157478, -34.477843337777614]",emi,2024-02-21 17:36:02.960422+00:00,,,,,4223.294687120014,125.4859701587315,4.25,0.1262794601572764,95.67215408649344,7.416468005408821,openmeteo,ISS,NASA-JPL EMIT
emi20240123t090751p06002-A,18.65571556590963,73.85765452773862,2024-01-23T09:07:51+00,Solid Waste (6A),CH4,mfa,"[73.82056944396484, 18.62815106527076, 73.88458013199521, 18.68879750146752]",emi,2024-02-08 00:09:33.567642+00:00,,,,,1378.6981801876543,362.4469586388563,1.0648148148148147,0.2799299344042773,165.16472797944763,41.21933944379177,openmeteo,ISS,NASA-JPL EMIT
emi20240124t143039p10001-A,14.801963635548006,-17.309841127270545,2024-01-24T14:30:39+00,Solid Waste (6A),CH4,mfa,"[-17.34528705617062, 14.77173630442149, -17.281358051824633, 14.83301085889462]",emi,2024-02-08 00:13:34.287273+00:00,,,,,6490.435620210371,461.4820819804632,4.648148148148148,0.3304920055106434,25.017284782520655,10.731769469551434,openmeteo,ISS,NASA-JPL EMIT
emi20240126t082026p06002-A,22.982978612087194,72.56714089349566,2024-01-26T08:20:26+00,Solid Waste (6A),CH4,mfa,"[72.51667567014653, 22.941180553684095, 72.58207780471105, 23.001396330372618]",emi,2024-02-08 00:09:12.776090+00:00,,,,,3777.232833025497,102.9617812275408,2.9999999999999996,0.0817755635771096,69.33455141203405,4.923880295033877,openmeteo,ISS,NASA-JPL EMIT
emi20240126t130103p09005-A,28.68458625883531,7.193115609797019,2024-01-26T13:01:03+00,Oil & Gas (1B2),CH4,mfa,"[7.1592417805635185, 28.65635441333558, 7.2258969102535024, 28.714324798728633]",emi,2024-03-01 21:49:36.335412+00:00,,,,,1958.3742468305695,272.6131503324908,3.4537037037037037,0.48076870317582104,73.6617424634694,9.827359860707581,openmeteo,ISS,NASA-JPL EMIT
emi20240126t130103p09005-B,28.72275485021015,7.520616654551759,2024-01-26T13:01:03+00,Oil & Gas (1B2),CH4,mfa,"[7.48442039934087, 28.691072286990444, 7.550532082968073, 28.74955479250466]",emi,2024-03-01 21:49:36.190446+00:00,,,,,845.9752340119516,125.42907147543006,3.296296296296296,0.4887275266813572,71.33912422273822,10.647899217259106,openmeteo,ISS,NASA-JPL EMIT
