dual_index,lat,lon,date,site,quantification_kg_h,source,site_id,emit_id
siteid_0-emitid_EMIT_L1B_RAD_001_20241202T180154_2433712_009,32.82179166,-111.7861234,2024-12-02,"Casa Grande, AZ",755.0369,SBR 2024,0,EMIT_L1B_RAD_001_20241202T180154_2433712_009
siteid_2-emitid_EMIT_L1B_RAD_001_20240212T214843_2404314_025,31.34677,-101.79872,2024-02-12,,18163.0,IMEO Notified Plumes,2,EMIT_L1B_RAD_001_20240212T214843_2404314_025
siteid_3-emitid_EMIT_L1B_RAD_001_20240405T170129_2409611_019,38.30074,-96.13034,2024-04-05,,92358.0,IMEO Notified Plumes,3,EMIT_L1B_RAD_001_20240405T170129_2409611_019
siteid_4-emitid_EMIT_L1B_RAD_001_20240425T165838_2411611_016,32.07549,-103.2788,2024-04-25,,1553.0,IMEO Notified Plumes,4,EMIT_L1B_RAD_001_20240425T165838_2411611_016
siteid_5-emitid_EMIT_L1B_RAD_001_20240627T160532_2417911_013,32.21658,-103.52525,2024-06-27,,8376.0,IMEO Notified Plumes,5,EMIT_L1B_RAD_001_20240627T160532_2417911_013
siteid_6-emitid_EMIT_L1B_RAD_001_20240627T160532_2417911_013,32.23809,-103.51344,2024-06-27,,3886.0,IMEO Notified Plumes,6,EMIT_L1B_RAD_001_20240627T160532_2417911_013
siteid_7-emitid_EMIT_L1B_RAD_001_20240627T160532_2417911_013,31.98247,-104.06307,2024-06-27,,1277.0,IMEO Notified Plumes,7,EMIT_L1B_RAD_001_20240627T160532_2417911_013
siteid_8-emitid_EMIT_L1B_RAD_001_20240627T160707_2417911_021,27.87238,-99.29281,2024-06-27,,1616.0,IMEO Notified Plumes,8,EMIT_L1B_RAD_001_20240627T160707_2417911_021
siteid_9-emitid_EMIT_L1B_RAD_001_20240627T160707_2417911_021,28.08856,-99.4644,2024-06-27,,3641.0,IMEO Notified Plumes,9,EMIT_L1B_RAD_001_20240627T160707_2417911_021
siteid_10-emitid_EMIT_L1B_RAD_001_20240627T160707_2417911_021,28.0192,-99.72349,2024-06-27,,4700.0,IMEO Notified Plumes,10,EMIT_L1B_RAD_001_20240627T160707_2417911_021
siteid_11-emitid_EMIT_L1B_RAD_001_20240627T160707_2417911_021,27.89767,-99.65684,2024-06-27,,1676.0,IMEO Notified Plumes,11,EMIT_L1B_RAD_001_20240627T160707_2417911_021
siteid_12-emitid_EMIT_L1B_RAD_001_20240719T230943_2420115_003,31.92373,-103.66952,2024-07-19,,3855.0,IMEO Notified Plumes,12,EMIT_L1B_RAD_001_20240719T230943_2420115_003
siteid_13-emitid_EMIT_L1B_RAD_001_20240723T213224_2420514_011,31.12803,-103.57565,2024-07-23,,3465.0,IMEO Notified Plumes,13,EMIT_L1B_RAD_001_20240723T213224_2420514_011
siteid_14-emitid_EMIT_L1B_RAD_001_20240723T213235_2420514_012,31.65865,-103.14935,2024-07-23,,4991.0,IMEO Notified Plumes,14,EMIT_L1B_RAD_001_20240723T213235_2420514_012
siteid_15-emitid_EMIT_L1B_RAD_001_20240723T213247_2420514_013,32.24391,-101.90207,2024-07-23,,1800.0,IMEO Notified Plumes,15,EMIT_L1B_RAD_001_20240723T213247_2420514_013
siteid_16-emitid_EMIT_L1B_RAD_001_20240723T213259_2420514_014,32.3221,-101.80803,2024-07-23,,4147.0,IMEO Notified Plumes,16,EMIT_L1B_RAD_001_20240723T213259_2420514_014
siteid_17-emitid_EMIT_L1B_RAD_001_20240723T213259_2420514_014,32.32217,-101.65512,2024-07-23,,1964.0,IMEO Notified Plumes,17,EMIT_L1B_RAD_001_20240723T213259_2420514_014
siteid_18-emitid_EMIT_L1B_RAD_001_20240723T213259_2420514_014,32.43348,-101.7126,2024-07-23,,1784.0,IMEO Notified Plumes,18,EMIT_L1B_RAD_001_20240723T213259_2420514_014
siteid_19-emitid_EMIT_L1B_RAD_001_20240727T195453_2420913_014,31.66959,-101.97882,2024-07-27,,12008.0,IMEO Notified Plumes,19,EMIT_L1B_RAD_001_20240727T195453_2420913_014
siteid_20-emitid_EMIT_L1B_RAD_001_20240727T195453_2420913_014,31.43331,-101.82807,2024-07-27,,4708.0,IMEO Notified Plumes,20,EMIT_L1B_RAD_001_20240727T195453_2420913_014
siteid_21-emitid_EMIT_L1B_RAD_001_20240727T195453_2420913_014,31.43601,-101.82797,2024-07-27,,21531.0,IMEO Notified Plumes,21,EMIT_L1B_RAD_001_20240727T195453_2420913_014
siteid_22-emitid_EMIT_L1B_RAD_001_20240727T195505_2420913_015,31.85778,-101.76402,2024-07-27,,4225.0,IMEO Notified Plumes,22,EMIT_L1B_RAD_001_20240727T195505_2420913_015
siteid_23-emitid_EMIT_L1B_RAD_001_20240727T195505_2420913_015,31.87523,-101.75756,2024-07-27,,5198.0,IMEO Notified Plumes,23,EMIT_L1B_RAD_001_20240727T195505_2420913_015
siteid_24-emitid_EMIT_L1B_RAD_001_20240727T195517_2420913_016,32.44704,-101.4388,2024-07-27,,4824.0,IMEO Notified Plumes,24,EMIT_L1B_RAD_001_20240727T195517_2420913_016
siteid_25-emitid_EMIT_L1B_RAD_001_20240730T190438_2421213_007,31.96673,-106.39668,2024-07-30,,872.0,IMEO Notified Plumes,25,EMIT_L1B_RAD_001_20240730T190438_2421213_007
siteid_26-emitid_EMIT_L1B_RAD_001_20240801T172829_2421412_009,27.86776,-99.28926,2024-08-01,,2546.0,IMEO Notified Plumes,26,EMIT_L1B_RAD_001_20240801T172829_2421412_009
siteid_27-emitid_EMIT_L1B_RAD_001_20240805T155500_2421811_015,32.22411,-93.64115,2024-08-05,,1006.0,IMEO Notified Plumes,27,EMIT_L1B_RAD_001_20240805T155500_2421811_015
siteid_28-emitid_EMIT_L1B_RAD_001_20240812T213903_2422514_030,32.32568,-101.82028,2024-08-12,,8836.0,IMEO Notified Plumes,28,EMIT_L1B_RAD_001_20240812T213903_2422514_030
siteid_29-emitid_EMIT_L1B_RAD_001_20240812T213903_2422514_030,32.20047,-101.99519,2024-08-12,,10789.0,IMEO Notified Plumes,29,EMIT_L1B_RAD_001_20240812T213903_2422514_030
siteid_30-emitid_EMIT_L1B_RAD_001_20240812T213903_2422514_030,32.26463,-101.98139,2024-08-12,,7864.0,IMEO Notified Plumes,30,EMIT_L1B_RAD_001_20240812T213903_2422514_030
siteid_31-emitid_EMIT_L1B_RAD_001_20240812T213903_2422514_030,31.8271,-101.90576,2024-08-12,,5225.0,IMEO Notified Plumes,31,EMIT_L1B_RAD_001_20240812T213903_2422514_030
siteid_32-emitid_EMIT_L1B_RAD_001_20240812T213903_2422514_030,32.29825,-101.83726,2024-08-12,,7400.0,IMEO Notified Plumes,32,EMIT_L1B_RAD_001_20240812T213903_2422514_030
siteid_33-emitid_EMIT_L1B_RAD_001_20240812T213903_2422514_030,32.21212,-101.91349,2024-08-12,,8863.0,IMEO Notified Plumes,33,EMIT_L1B_RAD_001_20240812T213903_2422514_030
siteid_34-emitid_EMIT_L1B_RAD_001_20240812T213903_2422514_030,32.30581,-102.09102,2024-08-12,,5712.0,IMEO Notified Plumes,34,EMIT_L1B_RAD_001_20240812T213903_2422514_030
siteid_35-emitid_EMIT_L1B_RAD_001_20240823T173410_2423611_025,31.72585,-103.93964,2024-08-23,,3669.0,IMEO Notified Plumes,35,EMIT_L1B_RAD_001_20240823T173410_2423611_025
siteid_36-emitid_EMIT_L1B_RAD_001_20240827T155833_2424010_008,27.7909,-99.59648,2024-08-27,,4472.0,IMEO Notified Plumes,36,EMIT_L1B_RAD_001_20240827T155833_2424010_008
siteid_37-emitid_EMIT_L1B_RAD_001_20240927T191727_2427113_009,30.90366,-101.16016,2024-09-27,,3398.0,IMEO Notified Plumes,37,EMIT_L1B_RAD_001_20240927T191727_2427113_009
siteid_38-emitid_EMIT_L1B_RAD_001_20241130T180310_2433512_007,30.98655,-102.99275,2024-11-30,,7433.0,IMEO Notified Plumes,38,EMIT_L1B_RAD_001_20241130T180310_2433512_007
siteid_39-emitid_EMIT_L1B_RAD_001_20241130T180310_2433512_007,30.99742,-102.92718,2024-11-30,,6776.0,IMEO Notified Plumes,39,EMIT_L1B_RAD_001_20241130T180310_2433512_007
siteid_40-emitid_EMIT_L1B_RAD_001_20241130T180334_2433512_009,31.89781,-102.11692,2024-11-30,,4780.0,IMEO Notified Plumes,40,EMIT_L1B_RAD_001_20241130T180334_2433512_009
siteid_41-emitid_EMIT_L1B_RAD_001_20241130T180334_2433512_009,31.48968,-101.64743,2024-11-30,,3016.0,IMEO Notified Plumes,41,EMIT_L1B_RAD_001_20241130T180334_2433512_009
siteid_42-emitid_EMIT_L1B_RAD_001_20230205T171255_2303612_007,32.57641,-104.1742,2023-02-05,,978.0,IMEO Small Plumes,42,EMIT_L1B_RAD_001_20230205T171255_2303612_007
siteid_43-emitid_EMIT_L1B_RAD_001_20230604T180217_2315512_016,32.05671,-103.53366,2023-06-04,,217.0,IMEO Small Plumes,43,EMIT_L1B_RAD_001_20230604T180217_2315512_016
siteid_44-emitid_EMIT_L1B_RAD_001_20230604T180217_2315512_016,32.06642,-103.53096,2023-06-04,,326.0,IMEO Small Plumes,44,EMIT_L1B_RAD_001_20230604T180217_2315512_016
siteid_45-emitid_EMIT_L1B_RAD_001_20230608T162346_2315911_016,32.39419,-102.31735,2023-06-08,,885.0,IMEO Small Plumes,45,EMIT_L1B_RAD_001_20230608T162346_2315911_016
siteid_46-emitid_EMIT_L1B_RAD_001_20230608T162322_2315911_014,31.47977,-103.04533,2023-06-08,,885.0,IMEO Small Plumes,46,EMIT_L1B_RAD_001_20230608T162322_2315911_014
siteid_47-emitid_EMIT_L1B_RAD_001_20230609T171133_2316011_014,40.04518,-108.78269,2023-06-09,,693.0,IMEO Small Plumes,47,EMIT_L1B_RAD_001_20230609T171133_2316011_014
siteid_48-emitid_EMIT_L1B_RAD_001_20230616T211431_2316714_029,31.31632,-101.61463,2023-06-16,,868.0,IMEO Small Plumes,48,EMIT_L1B_RAD_001_20230616T211431_2316714_029
siteid_49-emitid_EMIT_L1B_RAD_001_20230620T193644_2317113_023,32.39419,-102.31735,2023-06-20,,675.0,IMEO Small Plumes,49,EMIT_L1B_RAD_001_20230620T193644_2317113_023
siteid_50-emitid_EMIT_L1B_RAD_001_20230731T191810_2321213_013,31.27494,-103.09614,2023-07-31,,961.0,IMEO Small Plumes,50,EMIT_L1B_RAD_001_20230731T191810_2321213_013
siteid_51-emitid_EMIT_L1B_RAD_001_20231004T174744_2327712_017,32.64369,-104.2074,2023-10-04,,630.0,IMEO Small Plumes,51,EMIT_L1B_RAD_001_20231004T174744_2327712_017
siteid_52-emitid_EMIT_L1B_RAD_001_20231004T174744_2327712_017,32.75692,-104.22497,2023-10-04,,680.0,IMEO Small Plumes,52,EMIT_L1B_RAD_001_20231004T174744_2327712_017
siteid_53-emitid_EMIT_L1B_RAD_001_20231004T174744_2327712_017,32.75685,-104.21408,2023-10-04,,961.0,IMEO Small Plumes,53,EMIT_L1B_RAD_001_20231004T174744_2327712_017
siteid_54-emitid_EMIT_L1B_RAD_001_20231020T192933_2329313_027,31.71068,-103.76595,2023-10-20,,421.0,IMEO Small Plumes,54,EMIT_L1B_RAD_001_20231020T192933_2329313_027
siteid_55-emitid_EMIT_L1B_RAD_001_20231020T192933_2329313_027,31.34601,-103.47872,2023-10-20,,628.0,IMEO Small Plumes,55,EMIT_L1B_RAD_001_20231020T192933_2329313_027
siteid_56-emitid_EMIT_L1B_RAD_001_20231205T165825_2333911_013,31.13067,-101.55081,2023-12-05,,754.0,IMEO Small Plumes,56,EMIT_L1B_RAD_001_20231205T165825_2333911_013
siteid_57-emitid_EMIT_L1B_RAD_001_20231205T165837_2333911_014,31.33763,-101.40464,2023-12-05,,857.0,IMEO Small Plumes,57,EMIT_L1B_RAD_001_20231205T165837_2333911_014
siteid_58-emitid_EMIT_L1B_RAD_001_20240130T173950_2403012_012,34.13713,-80.76687,2024-01-30,,558.0,IMEO Small Plumes,58,EMIT_L1B_RAD_001_20240130T173950_2403012_012
siteid_59-emitid_EMIT_L1B_RAD_001_20240131T182447_2403112_010,31.57082,-101.817,2024-01-31,,739.0,IMEO Small Plumes,59,EMIT_L1B_RAD_001_20240131T182447_2403112_010
siteid_60-emitid_EMIT_L1B_RAD_001_20240212T214820_2404314_023,32.33159,-103.25161,2024-02-12,,840.0,IMEO Small Plumes,60,EMIT_L1B_RAD_001_20240212T214820_2404314_023
siteid_61-emitid_EMIT_L1B_RAD_001_20240805T155500_2421811_015,32.18301,-93.73379,2024-08-05,,916.0,IMEO Small Plumes,61,EMIT_L1B_RAD_001_20240805T155500_2421811_015
siteid_62-emitid_EMIT_L1B_RAD_001_20241130T180334_2433512_009,31.79317,-101.62374,2024-11-30,,980.0,IMEO Small Plumes,62,EMIT_L1B_RAD_001_20241130T180334_2433512_009
