lat,lon,date,site,quantification_kg_h,source
32.82179166,-111.7861234,2024-12-02,"Casa Grande, AZ",755.0369,SBR 2024
32.82179166,-111.7861234,2024-11-28,"Casa Grande, AZ",943.23970,SBR 2024
31.34677,-101.79872,2024-02-12,"",18163.0,"IMEO Notified Plumes"
38.30074,-96.13034,2024-04-05,"",92358.0,"IMEO Notified Plumes"
32.07549,-103.2788,2024-04-25,"",1553.0,"IMEO Notified Plumes"
32.21658,-103.52525,2024-06-27,"",8376.0,"IMEO Notified Plumes"
32.23809,-103.51344,2024-06-27,"",3886.0,"IMEO Notified Plumes"
31.98247,-104.06307,2024-06-27,"",1277.0,"IMEO Notified Plumes"
27.87238,-99.29281,2024-06-27,"",1616.0,"IMEO Notified Plumes"
28.08856,-99.4644,2024-06-27,"",3641.0,"IMEO Notified Plumes"
28.0192,-99.72349,2024-06-27,"",4700.0,"IMEO Notified Plumes"
27.89767,-99.65684,2024-06-27,"",1676.0,"IMEO Notified Plumes"
31.92373,-103.66952,2024-07-19,"",3855.0,"IMEO Notified Plumes"
31.12803,-103.57565,2024-07-23,"",3465.0,"IMEO Notified Plumes"
31.65865,-103.14935,2024-07-23,"",4991.0,"IMEO Notified Plumes"
32.24391,-101.90207,2024-07-23,"",1800.0,"IMEO Notified Plumes"
32.3221,-101.80803,2024-07-23,"",4147.0,"IMEO Notified Plumes"
32.32217,-101.65512,2024-07-23,"",1964.0,"IMEO Notified Plumes"
32.43348,-101.7126,2024-07-23,"",1784.0,"IMEO Notified Plumes"
31.66959,-101.97882,2024-07-27,"",12008.0,"IMEO Notified Plumes"
31.43331,-101.82807,2024-07-27,"",4708.0,"IMEO Notified Plumes"
31.43601,-101.82797,2024-07-27,"",21531.0,"IMEO Notified Plumes"
31.85778,-101.76402,2024-07-27,"",4225.0,"IMEO Notified Plumes"
31.87523,-101.75756,2024-07-27,"",5198.0,"IMEO Notified Plumes"
32.44704,-101.4388,2024-07-27,"",4824.0,"IMEO Notified Plumes"
31.96673,-106.39668,2024-07-30,"",872.0,"IMEO Notified Plumes"
27.86776,-99.28926,2024-08-01,"",2546.0,"IMEO Notified Plumes"
32.22411,-93.64115,2024-08-05,"",1006.0,"IMEO Notified Plumes"
32.32568,-101.82028,2024-08-12,"",8836.0,"IMEO Notified Plumes"
32.20047,-101.99519,2024-08-12,"",10789.0,"IMEO Notified Plumes"
32.26463,-101.98139,2024-08-12,"",7864.0,"IMEO Notified Plumes"
31.8271,-101.90576,2024-08-12,"",5225.0,"IMEO Notified Plumes"
32.29825,-101.83726,2024-08-12,"",7400.0,"IMEO Notified Plumes"
32.21212,-101.91349,2024-08-12,"",8863.0,"IMEO Notified Plumes"
32.30581,-102.09102,2024-08-12,"",5712.0,"IMEO Notified Plumes"
31.72585,-103.93964,2024-08-23,"",3669.0,"IMEO Notified Plumes"
27.7909,-99.59648,2024-08-27,"",4472.0,"IMEO Notified Plumes"
30.90366,-101.16016,2024-09-27,"",3398.0,"IMEO Notified Plumes"
30.98655,-102.99275,2024-11-30,"",7433.0,"IMEO Notified Plumes"
30.99742,-102.92718,2024-11-30,"",6776.0,"IMEO Notified Plumes"
31.89781,-102.11692,2024-11-30,"",4780.0,"IMEO Notified Plumes"
31.48968,-101.64743,2024-11-30,"",3016.0,"IMEO Notified Plumes"
32.57641,-104.1742,2023-02-05,"",978.0,"IMEO Small Plumes"
32.05671,-103.53366,2023-06-04,"",217.0,"IMEO Small Plumes"
32.06642,-103.53096,2023-06-04,"",326.0,"IMEO Small Plumes"
32.39419,-102.31735,2023-06-08,"",885.0,"IMEO Small Plumes"
31.47977,-103.04533,2023-06-08,"",885.0,"IMEO Small Plumes"
40.04518,-108.78269,2023-06-09,"",693.0,"IMEO Small Plumes"
31.31632,-101.61463,2023-06-16,"",868.0,"IMEO Small Plumes"
32.39419,-102.31735,2023-06-20,"",675.0,"IMEO Small Plumes"
31.27494,-103.09614,2023-07-31,"",961.0,"IMEO Small Plumes"
32.64369,-104.2074,2023-10-04,"",630.0,"IMEO Small Plumes"
32.75692,-104.22497,2023-10-04,"",680.0,"IMEO Small Plumes"
32.75685,-104.21408,2023-10-04,"",961.0,"IMEO Small Plumes"
31.71068,-103.76595,2023-10-20,"",421.0,"IMEO Small Plumes"
31.34601,-103.47872,2023-10-20,"",628.0,"IMEO Small Plumes"
31.13067,-101.55081,2023-12-05,"",754.0,"IMEO Small Plumes"
31.33763,-101.40464,2023-12-05,"",857.0,"IMEO Small Plumes"
34.13713,-80.76687,2024-01-30,"",558.0,"IMEO Small Plumes"
31.57082,-101.817,2024-01-31,"",739.0,"IMEO Small Plumes"
32.33159,-103.25161,2024-02-12,"",840.0,"IMEO Small Plumes"
32.18301,-93.73379,2024-08-05,"",916.0,"IMEO Small Plumes"
31.79317,-101.62374,2024-11-30,"",980.0,"IMEO Small Plumes"
