lat,lon,date,site,quantification_kg_h,source
31.6585,5.9053,2019-11-20,"Hassi Messaoud oil field, Algeria",8626.86206,"Varon et al., 2021"
31.6585,5.9053,2019-11-30,"Hassi Messaoud oil field, Algeria",7756.743393,"Varon et al., 2021"
38.4939,54.1977,2018-09-07,"Korpezhe oil/gas field, Turkmenistan",33513.51351,"Varon et al., 2021"
38.4939,54.1977,2018-05-20,"Korpezhe oil/gas field, Turkmenistan",62702.7027,"Varon et al., 2021"
38.4939,54.1977,2018-06-14,"Korpezhe oil/gas field, Turkmenistan",22972.97297,"Varon et al., 2021"
38.4939,54.1977,2018-08-28,"Korpezhe oil/gas field, Turkmenistan",43513.51351,"Varon et al., 2021"
38.4939,54.1977,2018-11-11,"Korpezhe oil/gas field, Turkmenistan",332432.4324,"Varon et al., 2021"
38.498635,54.19993,2018-12-11,"Korpezhe oil/gas field, Turkmenistan",29729.72973,"Varon et al., 2021"
38.4939,54.1977,2018-12-26,"Korpezhe oil/gas field, Turkmenistan",15135.13514,"Varon et al., 2021"
33.630637,-114.487755,2021-10-22,"Ehrenberg, AZ",1743,SBR 2021
33.630637,-114.487755,2021-10-27,"Ehrenberg, AZ",3614,SBR 2021
33.630637,-114.487755,2021-10-29,"Ehrenberg, AZ",5161,SBR 2021
33.630637,-114.487755,2021-11-03,"Ehrenberg, AZ",1403,SBR 2021
32.8218205,-111.785773,2022-10-26,"Casa Grande, AZ",1101.36084,SBR 2022
32.8218205,-111.785773,2022-11-08,"Casa Grande, AZ",1248.2658,SBR 2022
32.8218205,-111.785773,2022-11-15,"Casa Grande, AZ",1572.92832,SBR 2022
32.8218205,-111.785773,2022-11-18,"Casa Grande, AZ",1509.33504,SBR 2022
41.276,-110.93,2024-08-09,"Evanston, WY",683.5818892,SBR 2024
41.276,-110.93,2024-08-19,"Evanston, WY",695.2731541,SBR 2024
41.276,-110.93,2024-08-29,"Evanston, WY",911.4626494,SBR 2024
41.276,-110.93,2024-09-03,"Evanston, WY",1028.448939,SBR 2024
41.276,-110.93,2024-09-13,"Evanston, WY",416.0329727,SBR 2024
41.276,-110.93,2024-09-23,"Evanston, WY",521.7898679,SBR 2024
41.276,-110.93,2024-10-03,"Evanston, WY",830.8544218,SBR 2024
41.276,-110.93,2024-10-08,"Evanston, WY",495.462034,SBR 2024
41.276,-110.93,2024-10-13,"Evanston, WY",547.5444664,SBR 2024
32.82179166,-111.7861234,2024-10-03,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-05,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-08,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-10,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-13,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-15,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-18,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-20,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-23,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-25,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-28,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-10-30,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-11-02,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-11-04,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-11-07,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-11-09,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-11-12,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-11-17,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-11-19,"Casa Grande, AZ",379.4104472,SBR 2024
32.82179166,-111.7861234,2024-11-22,"Casa Grande, AZ",763.369599,SBR 2024
32.82179166,-111.7861234,2024-11-24,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-11-27,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-11-29,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-12-04,"Casa Grande, AZ",711.0541,SBR 2024
32.82179166,-111.7861234,2024-12-07,"Casa Grande, AZ",848.8779,SBR 2024
32.82179166,-111.7861234,2024-12-09,"Casa Grande, AZ",943.6451,SBR 2024
32.82179166,-111.7861234,2024-12-12,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-12-14,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-12-19,"Casa Grande, AZ",899.6825,SBR 2024
32.82179166,-111.7861234,2024-12-22,"Casa Grande, AZ",1008.4023,SBR 2024
32.82179166,-111.7861234,2024-12-24,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-12-27,"Casa Grande, AZ",0,SBR 2024
32.82179166,-111.7861234,2024-12-29,"Casa Grande, AZ",1103.9973,SBR 2024
