emit_id,geometry,cloud_cover,centroid_x,centroid_y,cluster,region,fold
EMIT_L1B_RAD_001_20231015T140956_2328809_017,"POLYGON ((8.2302961 31.034111, 7.7038107 30.4571571, 8.3123827 29.9018211, 8.8388681 30.478775, 8.2302961 31.034111))",14,8.2713394,30.467966049999998,1.0,hassi,train
EMIT_L1B_RAD_001_20230806T095601_2321807_040,"POLYGON ((7.1999846 33.9563713, 6.4505692 33.3370018, 6.9594154 32.7213173, 7.7088308 33.3406868, 7.1999846 33.9563713))",36,7.079700000000001,33.338844300000005,8.0,hassi,train
EMIT_L1B_RAD_001_20231015T140921_2328809_014,"POLYGON ((6.4155178 32.6286201, 5.8997126 32.0359001, 6.533206 31.4846153, 7.0490112 32.0773354, 6.4155178 32.6286201))",44,6.474361901708229,32.056617716728255,5.0,hassi,train
EMIT_L1B_RAD_001_20230228T085135_2305906_009,"POLYGON ((8.3212872 31.6980133, 7.7944221 31.109581, 8.4123859 30.5562706, 8.9392509 31.1447029, 8.3212872 31.6980133))",9,8.366836516707366,31.12714194948994,1.0,hassi,train
EMIT_L1B_RAD_001_20231027T092139_2330006_011,"POLYGON ((8.2177486 32.653698, 7.6976676 32.0544968, 8.3338013 31.5023613, 8.8538818 32.1015625, 8.2177486 32.653698))",39,8.275774783673867,32.07802964662164,1.0,hassi,train
EMIT_L1B_RAD_001_20231003T104922_2327607_035,"POLYGON ((4.3444815 29.9874115, 3.6845551 29.3621674, 4.2239962 28.7928047, 4.8839226 29.4180489, 4.3444815 29.9874115))",5,4.284238848311102,29.390108116587978,0.0,hassi,train
EMIT_L1B_RAD_001_20230131T115231_2303108_040,"POLYGON ((6.0330086 32.272522, 5.325304 31.6499062, 5.8476887 31.0561333, 6.5553932 31.6787491, 6.0330086 32.272522))",12,5.940348616606913,31.664327649607802,5.0,hassi,train
EMIT_L1B_RAD_001_20231019T123214_2329208_016,"POLYGON ((8.6061287 31.5826035, 8.0781803 30.9939651, 8.694994 30.4407463, 9.2229424 31.0293846, 8.6061287 31.5826035))",48,8.650561348706029,31.0116748832933,1.0,hassi,train
EMIT_L1B_RAD_001_20230131T115219_2303108_039,"POLYGON ((5.4254904 31.7412167, 4.729248 31.1176205, 5.2558193 30.529707, 5.9520617 31.1533031, 5.4254904 31.7412167))",3,5.340654852343733,31.135461833401727,7.0,hassi,train
EMIT_L1B_RAD_001_20231030T083351_2330306_004,"POLYGON ((5.4071703 30.2952843, 4.8707304 29.7222023, 5.463728 29.1671181, 6.0001678 29.7402, 5.4071703 30.2952843))",27,5.435449115845097,29.731201183054655,7.0,hassi,train
EMIT_L1B_RAD_001_20231223T104811_2335707_001,"POLYGON ((7.3956366 32.8632164, 6.8742332 32.2581978, 7.5152426 31.7057762, 8.0366459 32.3107948, 7.3956366 32.8632164))",9,7.455439566744233,32.28449629924937,8.0,hassi,train
EMIT_L1B_RAD_001_20230228T085123_2305906_008,"POLYGON ((7.7145443 32.2282829, 7.1918073 31.6342087, 7.8198414 31.0815887, 8.3425789 31.675663, 7.7145443 32.2282829))",6,7.767193017917318,31.654935819713643,1.0,hassi,train
EMIT_L1B_RAD_001_20230806T095450_2321807_034,"POLYGON ((3.5185866 30.7858353, 2.8424091 30.1610107, 3.3790164 29.5802994, 4.0551939 30.2051239, 3.5185866 30.7858353))",20,3.4488015019377336,30.183067333403823,0.0,hassi,train
EMIT_L1B_RAD_001_20231015T140933_2328809_015,"POLYGON ((7.027298 32.0996017, 6.5074797 31.5128593, 7.1310596 30.9604034, 7.650878 31.5471458, 7.027298 32.0996017))",6,7.079178833287935,31.53000255049841,5.0,hassi,train
