region,emit_id
Africa,EMIT_L1B_RAD_001_20230206T083921_2303706_021
Africa,EMIT_L1B_RAD_001_20230725T131157_2320609_038
Africa,EMIT_L1B_RAD_001_20231025T105617_2329807_007
Africa,EMIT_L1B_RAD_001_20230325T151705_2308410_042
Africa,EMIT_L1B_RAD_001_20231021T123313_2329408_016
Africa,EMIT_L1B_RAD_001_20230822T114248_2323408_007
Africa,EMIT_L1B_RAD_001_20230302T085203_2306106_005
Africa,EMIT_L1B_RAD_001_20230129T101409_2302907_001
Africa,EMIT_L1B_RAD_001_20230324T125419_2308309_028
Africa,EMIT_L1B_RAD_001_20230809T090658_2322106_014
Africa,EMIT_L1B_RAD_001_20230321T133701_2308009_010
Africa,EMIT_L1B_RAD_001_20231018T132659_2329109_053
Africa,EMIT_L1B_RAD_001_20230305T063605_2306404_012
Africa,EMIT_L1B_RAD_001_20231030T083502_2330306_010
Africa,EMIT_L1B_RAD_001_20231201T104948_2333507_030
Africa,EMIT_L1B_RAD_001_20230804T095533_2321607_030
Africa,EMIT_L1B_RAD_001_20230125T133031_2302509_029
Africa,EMIT_L1B_RAD_001_20230129T101421_2302907_002
Africa,EMIT_L1B_RAD_001_20230217T125630_2304808_050
Africa,EMIT_L1B_RAD_001_20230825T105518_2323707_008
Africa,EMIT_L1B_RAD_001_20231022T114528_2329508_018
Africa,EMIT_L1B_RAD_001_20230304T072332_2306305_021
Africa,EMIT_L1B_RAD_001_20230217T125641_2304808_051
Africa,EMIT_L1B_RAD_001_20230824T101603_2323607_042
Africa,EMIT_L1B_RAD_001_20230923T140111_2326609_032
Africa,EMIT_L1B_RAD_001_20230924T144801_2326710_032
Africa,EMIT_L1B_RAD_001_20230216T133550_2304709_010
Africa,EMIT_L1B_RAD_001_20230227T094542_2305806_048
Africa,EMIT_L1B_RAD_001_20230131T083911_2303106_002
Africa,EMIT_L1B_RAD_001_20230822T114545_2323408_022
Africa,EMIT_L1B_RAD_001_20231030T083339_2330306_003
Africa,EMIT_L1B_RAD_001_20230302T085127_2306106_002
Africa,EMIT_L1B_RAD_001_20230301T081130_2306005_039
