wrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,inside_val_regions,inside_hassi,inside_marcellus,inside_permian,ls_cloud_perc,ls_cloud_shadow_perc,ls_nodata_perc
014_031,2022-06-10,2022-06-10T15:39:35.883338+00:00,LC08_L1TP_014031_20220610_20220616_02_T1,44.4,False,3.933,USA,"POLYGON Z ((-75.336 42.718 6999.999999999999, -73.027 42.382 6999.999999999999, -73.579 40.793 6999.999999999999, -75.835 41.121 6999.999999999999, -75.336 42.718 6999.999999999999))",True,False,True,False,53.31239710128866,12.095123047464243,33.18745369992601
014_031,2022-07-20,2022-07-20T15:39:22.615428+00:00,LC09_L1TP_014031_20220720_20230406_02_T1,1.45,False,4.066,USA,"POLYGON Z ((-75.336 42.718 6999.999999999999, -73.027 42.382 6999.999999999999, -73.579 40.793 6999.999999999999, -75.835 41.121 6999.999999999999, -75.336 42.718 6999.999999999999))",True,False,True,False,2.784731571241524,1.8955162550828437,32.81096378545847
014_031,2022-11-25,2022-11-25T15:39:55.379120+00:00,LC09_L1GT_014031_20221125_20230320_02_T2,96.0,False,4.276,USA,"POLYGON Z ((-75.336 42.718 6999.999999999999, -73.027 42.382 6999.999999999999, -73.579 40.793 6999.999999999999, -75.835 41.121 6999.999999999999, -75.336 42.718 6999.999999999999))",True,False,True,False,95.99964005336835,4.000359946631651,32.812461671319596
014_031,2023-02-13,2023-02-13T15:39:57.378698+00:00,LC09_L1TP_014031_20230213_20230310_02_T1,4.65,False,5.334,USA,"POLYGON Z ((-75.336 42.718 6999.999999999999, -73.027 42.382 6999.999999999999, -73.579 40.793 6999.999999999999, -75.835 41.121 6999.999999999999, -75.336 42.718 6999.999999999999))",True,False,True,False,10.60128597319225,7.025440431786949,32.89624603818092
014_031,2023-12-22,2023-12-22T15:39:41.548732+00:00,LC08_L1TP_014031_20231222_20240103_02_T1,35.0,True,5.32,USA,"POLYGON Z ((-75.336 42.718 6999.999999999999, -73.027 42.382 6999.999999999999, -73.579 40.793 6999.999999999999, -75.835 41.121 6999.999999999999, -75.336 42.718 6999.999999999999))",True,False,True,False,39.394196271963416,12.773488337682483,33.27399702106756
014_031,2024-05-22,2024-05-22T15:38:55.430519+00:00,LC09_L1TP_014031_20240522_20240522_02_T1,4.68,False,4.023,USA,"POLYGON Z ((-75.336 42.718 6999.999999999999, -73.027 42.382 6999.999999999999, -73.579 40.793 6999.999999999999, -75.835 41.121 6999.999999999999, -75.336 42.718 6999.999999999999))",True,False,True,False,7.295461861721742,4.038469252037552,32.79743992170346
014_031,2024-08-26,2024-08-26T15:39:14.983802+00:00,LC09_L1TP_014031_20240826_20240826_02_T1,7.5,False,4.089,USA,"POLYGON Z ((-75.336 42.718 6999.999999999999, -73.027 42.382 6999.999999999999, -73.579 40.793 6999.999999999999, -75.835 41.121 6999.999999999999, -75.336 42.718 6999.999999999999))",True,False,True,False,11.066267252346035,5.426466937904712,32.796974719266416
015_031,2022-01-16,2022-01-16T15:45:53.986424+00:00,LC09_L1TP_015031_20220116_20230501_02_T1,6.02,False,5.25,USA,"POLYGON Z ((-76.882 42.718 6999.999999999999, -74.572 42.382 6999.999999999999, -75.124 40.793 6999.999999999999, -77.38 41.121 6999.999999999999, -76.882 42.718 6999.999999999999))",True,False,True,False,15.73310487927905,10.530476973386158,34.177900119201375
015_031,2023-04-09,2023-04-09T15:45:34.210979+00:00,LC09_L1TP_015031_20230409_20230410_02_T1,0.01,True,4.923,USA,"POLYGON Z ((-76.882 42.718 6999.999999999999, -74.572 42.382 6999.999999999999, -75.124 40.793 6999.999999999999, -77.38 41.121 6999.999999999999, -76.882 42.718 6999.999999999999))",True,False,True,False,0.028783321512328,0.02654202747900131,34.24486959601916
015_031,2023-06-28,2023-06-28T15:45:03.640731+00:00,LC09_L1GT_015031_20230628_20230628_02_T2,96.86,False,4.045,USA,"POLYGON Z ((-76.882 42.718 6999.999999999999, -74.572 42.382 6999.999999999999, -75.124 40.793 6999.999999999999, -77.38 41.121 6999.999999999999, -76.882 42.718 6999.999999999999))",True,False,True,False,96.85818644679533,3.1418135532046727,34.31614037264992
015_031,2023-07-14,2023-07-14T15:45:15.393052+00:00,LC09_L1TP_015031_20230714_20230714_02_T1,59.52,False,3.748,USA,"POLYGON Z ((-76.882 42.718 6999.999999999999, -74.572 42.382 6999.999999999999, -75.124 40.793 6999.999999999999, -77.38 41.121 6999.999999999999, -76.882 42.718 6999.999999999999))",True,False,True,False,68.37629398552833,10.882314476889004,34.24878403424457
015_031,2023-07-30,2023-07-30T15:45:20.025126+00:00,LC09_L1TP_015031_20230730_20230731_02_T1,38.56,False,4.259,USA,"POLYGON Z ((-76.882 42.718 6999.999999999999, -74.572 42.382 6999.999999999999, -75.124 40.793 6999.999999999999, -77.38 41.121 6999.999999999999, -76.882 42.718 6999.999999999999))",True,False,True,False,51.231337002119865,17.821526220402795,34.24991720357828
015_031,2023-10-02,2023-10-02T15:45:43.898952+00:00,LC09_L1TP_015031_20231002_20231002_02_T1,58.41,False,3.937,USA,"POLYGON Z ((-76.882 42.718 6999.999999999999, -74.572 42.382 6999.999999999999, -75.124 40.793 6999.999999999999, -77.38 41.121 6999.999999999999, -76.882 42.718 6999.999999999999))",True,False,True,False,63.22456309444733,7.157893439830046,34.23515533241482
015_031,2024-03-18,2024-03-18T15:45:26.555748+00:00,LC08_L1GT_015031_20240318_20240402_02_T2,94.32,True,3.964,USA,"POLYGON Z ((-76.882 42.718 6999.999999999999, -74.572 42.382 6999.999999999999, -75.124 40.793 6999.999999999999, -77.38 41.121 6999.999999999999, -76.882 42.718 6999.999999999999))",True,False,True,False,94.32477743430634,5.6752225656936535,34.55777342847628
015_031,2024-07-16,2024-07-16T15:45:06.111815+00:00,LC09_L1TP_015031_20240716_20240717_02_T1,11.61,False,4.111,USA,"POLYGON Z ((-76.882 42.718 6999.999999999999, -74.572 42.382 6999.999999999999, -75.124 40.793 6999.999999999999, -77.38 41.121 6999.999999999999, -76.882 42.718 6999.999999999999))",True,False,True,False,14.908836011710505,5.487672204843348,34.330540239575285
015_032,2022-01-08,2022-01-08T15:46:17.580991+00:00,LC08_L1TP_015032_20220108_20220114_02_T1,2.02,False,4.751,USA,"POLYGON Z ((-77.327 41.289 6999.999999999999, -75.068 40.96 6999.999999999999, -75.601 39.369 6999.999999999999, -77.81 39.69 6999.999999999999, -77.327 41.289 6999.999999999999))",True,False,True,False,4.394667206818677,2.4298938097122194,34.67873324676397
015_032,2022-06-25,2022-06-25T15:45:56.222595+00:00,LC09_L1TP_015032_20220625_20230409_02_T1,9.87,False,3.648,USA,"POLYGON Z ((-77.327 41.289 6999.999999999999, -75.068 40.96 6999.999999999999, -75.601 39.369 6999.999999999999, -77.81 39.69 6999.999999999999, -77.327 41.289 6999.999999999999))",True,False,True,False,15.930239502841426,8.958616363936079,34.46457883563481
015_032,2022-12-02,2022-12-02T15:46:27.804422+00:00,LC09_L1TP_015032_20221202_20230319_02_T1,11.99,False,4.33,USA,"POLYGON Z ((-77.327 41.289 6999.999999999999, -75.068 40.96 6999.999999999999, -75.601 39.369 6999.999999999999, -77.81 39.69 6999.999999999999, -77.327 41.289 6999.999999999999))",True,False,True,False,13.372128256371955,1.7675108117732963,34.39995977236608
015_032,2023-07-14,2023-07-14T15:45:39.279830+00:00,LC09_L1TP_015032_20230714_20230714_02_T1,50.06,True,4.001,USA,"POLYGON Z ((-77.327 41.289 6999.999999999999, -75.068 40.96 6999.999999999999, -75.601 39.369 6999.999999999999, -77.81 39.69 6999.999999999999, -77.327 41.289 6999.999999999999))",True,False,True,False,58.960111928522586,14.96738678181912,34.47832630932144
015_032,2023-09-16,2023-09-16T15:46:08.022190+00:00,LC09_L1TP_015032_20230916_20230916_02_T1,0.36,False,4.173,USA,"POLYGON Z ((-77.327 41.289 6999.999999999999, -75.068 40.96 6999.999999999999, -75.601 39.369 6999.999999999999, -77.81 39.69 6999.999999999999, -77.327 41.289 6999.999999999999))",True,False,True,False,0.7049724861758394,0.5268376948827873,34.39593765302832
015_032,2024-11-05,2024-11-05T15:46:09.215561+00:00,LC09_L1TP_015032_20241105_20241105_02_T1,18.47,True,4.483,USA,"POLYGON Z ((-77.327 41.289 6999.999999999999, -75.068 40.96 6999.999999999999, -75.601 39.369 6999.999999999999, -77.81 39.69 6999.999999999999, -77.327 41.289 6999.999999999999))",True,False,True,False,23.08343812208866,8.169047042503221,34.3840210376485
016_031,2022-04-29,2022-04-29T15:51:35.008028+00:00,LC09_L1TP_016031_20220429_20230418_02_T1,1.43,True,4.14,USA,"POLYGON Z ((-78.427 42.718 6999.999999999999, -76.117 42.382 6999.999999999999, -76.669 40.793 6999.999999999999, -78.925 41.121 6999.999999999999, -78.427 42.718 6999.999999999999))",True,False,True,False,1.9818455376336803,0.7768842359672777,35.61381893719702
016_031,2022-09-20,2022-09-20T15:52:09.904362+00:00,LC09_L1TP_016031_20220920_20230328_02_T1,63.77,False,4.954,USA,"POLYGON Z ((-78.427 42.718 6999.999999999999, -76.117 42.382 6999.999999999999, -76.669 40.793 6999.999999999999, -78.925 41.121 6999.999999999999, -78.427 42.718 6999.999999999999))",True,False,True,False,73.12318820854671,13.492561309391998,35.656021321081695
016_031,2022-10-22,2022-10-22T15:52:17.537185+00:00,LC09_L1TP_016031_20221022_20230325_02_T1,0.01,True,4.67,USA,"POLYGON Z ((-78.427 42.718 6999.999999999999, -76.117 42.382 6999.999999999999, -76.669 40.793 6999.999999999999, -78.925 41.121 6999.999999999999, -78.427 42.718 6999.999999999999))",True,False,True,False,0.03791911213996771,0.03374729856063357,35.500984159033024
016_031,2022-11-23,2022-11-23T15:52:17.607052+00:00,LC09_L1TP_016031_20221123_20230320_02_T1,10.16,False,5.307,USA,"POLYGON Z ((-78.427 42.718 6999.999999999999, -76.117 42.382 6999.999999999999, -76.669 40.793 6999.999999999999, -78.925 41.121 6999.999999999999, -78.427 42.718 6999.999999999999))",True,False,True,False,25.482509055922975,15.929962720372568,35.5224502771858
016_031,2023-07-05,2023-07-05T15:51:22.113111+00:00,LC09_L1TP_016031_20230705_20230706_02_T1,14.26,True,4.91,USA,"POLYGON Z ((-78.427 42.718 6999.999999999999, -76.117 42.382 6999.999999999999, -76.669 40.793 6999.999999999999, -78.925 41.121 6999.999999999999, -78.427 42.718 6999.999999999999))",True,False,True,False,22.427539033867195,12.186381959074497,35.58595413776631
016_031,2023-11-02,2023-11-02T15:52:02.708719+00:00,LC08_L1TP_016031_20231102_20231110_02_T1,68.48,False,3.699,USA,"POLYGON Z ((-78.427 42.718 6999.999999999999, -76.117 42.382 6999.999999999999, -76.669 40.793 6999.999999999999, -78.925 41.121 6999.999999999999, -78.427 42.718 6999.999999999999))",True,False,True,False,70.81277862864158,3.8066123033510997,35.86895467616719
016_031,2023-12-12,2023-12-12T15:52:07.104144+00:00,LC09_L1TP_016031_20231212_20231212_02_T1,6.74,False,4.065,USA,"POLYGON Z ((-78.427 42.718 6999.999999999999, -76.117 42.382 6999.999999999999, -76.669 40.793 6999.999999999999, -78.925 41.121 6999.999999999999, -78.427 42.718 6999.999999999999))",True,False,True,False,17.823414335511682,12.553655890031424,35.586802755710394
016_031,2024-07-23,2024-07-23T15:51:15.919778+00:00,LC09_L1TP_016031_20240723_20240724_02_T1,31.61,False,3.775,USA,"POLYGON Z ((-78.427 42.718 6999.999999999999, -76.117 42.382 6999.999999999999, -76.669 40.793 6999.999999999999, -78.925 41.121 6999.999999999999, -78.427 42.718 6999.999999999999))",True,False,True,False,42.46953169463468,15.189699716861481,35.67455136632622
016_032,2022-03-04,2022-03-04T15:52:14.528450+00:00,LC08_L1TP_016032_20220304_20220314_02_T1,2.33,False,4.056,USA,"POLYGON Z ((-78.872 41.289 6999.999999999999, -76.613 40.96 6999.999999999999, -77.146 39.369 6999.999999999999, -79.355 39.69 6999.999999999999, -78.872 41.289 6999.999999999999))",True,False,True,False,4.346629299987579,1.481634354147623,35.94003674875005
016_032,2022-08-11,2022-08-11T15:52:44.337453+00:00,LC08_L1TP_016032_20220811_20220817_02_T1,19.77,True,4.407,USA,"POLYGON Z ((-78.872 41.289 6999.999999999999, -76.613 40.96 6999.999999999999, -77.146 39.369 6999.999999999999, -79.355 39.69 6999.999999999999, -78.872 41.289 6999.999999999999))",True,False,True,False,25.732194427084234,8.243953399776146,36.01001403344117
016_032,2022-09-20,2022-09-20T15:52:33.791141+00:00,LC09_L1TP_016032_20220920_20230328_02_T1,21.61,False,4.692,USA,"POLYGON Z ((-78.872 41.289 6999.999999999999, -76.613 40.96 6999.999999999999, -77.146 39.369 6999.999999999999, -79.355 39.69 6999.999999999999, -78.872 41.289 6999.999999999999))",True,False,True,False,31.254759971201217,14.541941690970248,35.795350423167214
016_032,2023-05-26,2023-05-26T15:51:32.512845+00:00,LC08_L1TP_016032_20230526_20230603_02_T1,0.16,False,3.383,USA,"POLYGON Z ((-78.872 41.289 6999.999999999999, -76.613 40.96 6999.999999999999, -77.146 39.369 6999.999999999999, -79.355 39.69 6999.999999999999, -78.872 41.289 6999.999999999999))",True,False,True,False,0.3446943517985353,0.27307303320723825,35.927120332008016
016_032,2023-11-18,2023-11-18T15:52:27.498623+00:00,LC08_L1TP_016032_20231118_20231122_02_T1,2.32,False,4.051,USA,"POLYGON Z ((-78.872 41.289 6999.999999999999, -76.613 40.96 6999.999999999999, -77.146 39.369 6999.999999999999, -79.355 39.69 6999.999999999999, -78.872 41.289 6999.999999999999))",True,False,True,False,4.932493565055537,3.9058075510613173,35.93381177972479
016_032,2024-04-10,2024-04-10T15:51:49.021718+00:00,LC08_L1TP_016032_20240410_20240419_02_T1,85.45,False,4.061,USA,"POLYGON Z ((-78.872 41.289 6999.999999999999, -76.613 40.96 6999.999999999999, -77.146 39.369 6999.999999999999, -79.355 39.69 6999.999999999999, -78.872 41.289 6999.999999999999))",True,False,True,False,87.09080322438048,2.3873812375573564,35.93435423810446
016_032,2024-09-17,2024-09-17T15:52:09.757210+00:00,LC08_L1GT_016032_20240917_20240921_02_T2,97.79,False,4.263,USA,"POLYGON Z ((-78.872 41.289 6999.999999999999, -76.613 40.96 6999.999999999999, -77.146 39.369 6999.999999999999, -79.355 39.69 6999.999999999999, -78.872 41.289 6999.999999999999))",True,False,True,False,97.78773687877963,2.2122631212203703,35.92315683907167
016_033,2022-07-02,2022-07-02T15:52:29.992031+00:00,LC09_L1TP_016033_20220702_20230409_02_T1,70.2,False,4.603,USA,"POLYGON Z ((-79.304 39.858 6999.999999999999, -77.091 39.536 6999.999999999999, -77.607 37.943 6999.999999999999, -79.772 38.258 6999.999999999999, -79.304 39.858 6999.999999999999))",True,False,True,False,73.42022244728824,6.2637603296406015,30.466818259395552
016_033,2022-09-12,2022-09-12T15:53:14.875944+00:00,LC08_L1TP_016033_20220912_20220922_02_T1,71.3,False,4.967,USA,"POLYGON Z ((-79.304 39.858 6999.999999999999, -77.091 39.536 6999.999999999999, -77.607 37.943 6999.999999999999, -79.772 38.258 6999.999999999999, -79.304 39.858 6999.999999999999))",True,False,True,False,78.98523634252804,10.433289403094234,30.878344864418935
016_033,2023-09-15,2023-09-15T15:52:41.427958+00:00,LC08_L1TP_016033_20230915_20230925_02_T1,0.1,True,5.009,USA,"POLYGON Z ((-79.304 39.858 6999.999999999999, -77.091 39.536 6999.999999999999, -77.607 37.943 6999.999999999999, -79.772 38.258 6999.999999999999, -79.304 39.858 6999.999999999999))",True,False,True,False,0.2642742757111201,0.24454140258830012,30.779820632242217
016_033,2024-05-20,2024-05-20T15:52:05.761637+00:00,LC09_L1TP_016033_20240520_20240520_02_T1,24.9,False,3.376,USA,"POLYGON Z ((-79.304 39.858 6999.999999999999, -77.091 39.536 6999.999999999999, -77.607 37.943 6999.999999999999, -79.772 38.258 6999.999999999999, -79.304 39.858 6999.999999999999))",True,False,True,False,29.830513207296985,6.487138453215527,30.374283233147747
016_033,2024-07-31,2024-07-31T15:52:14.650764+00:00,LC08_L1TP_016033_20240731_20240807_02_T1,29.65,False,4.187,USA,"POLYGON Z ((-79.304 39.858 6999.999999999999, -77.091 39.536 6999.999999999999, -77.607 37.943 6999.999999999999, -79.772 38.258 6999.999999999999, -79.304 39.858 6999.999999999999))",True,False,True,False,41.36060036041481,17.416621451486566,30.88682464239476
017_031,2022-06-15,2022-06-15T15:58:11.490913+00:00,LC08_L1TP_017031_20220615_20220627_02_T1,37.53,True,4.202,USA,"POLYGON Z ((-79.972 42.718 6999.999999999999, -77.662 42.382 6999.999999999999, -78.214 40.793 6999.999999999999, -80.47 41.121 6999.999999999999, -79.972 42.718 6999.999999999999))",True,False,True,False,41.71278132613233,5.425547143470989,31.764730051087618
017_031,2022-07-25,2022-07-25T15:57:59.732461+00:00,LC09_L1TP_017031_20220725_20230406_02_T1,32.65,False,4.549,USA,"POLYGON Z ((-79.972 42.718 6999.999999999999, -77.662 42.382 6999.999999999999, -78.214 40.793 6999.999999999999, -80.47 41.121 6999.999999999999, -79.972 42.718 6999.999999999999))",True,False,True,False,44.025759756312354,16.643480605295473,31.46536069973586
