wrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,inside_val_regions,inside_hassi,inside_marcellus,inside_permian,ls_cloud_perc,ls_cloud_shadow_perc,ls_nodata_perc
001_054,2024-10-18,2024-10-18T14:28:23.407200+00:00,LC09_L1TP_001054_20241018_20241018_02_T1,27.1,False,3.517,South and Central America,"POLYGON Z ((-63.435 9.608 6999.999999999999, -61.71399999999999 9.358 6999.999999999999, -62.066 7.744 6999.999999999999, -63.78 7.993 6999.999999999999, -63.435 9.608 6999.999999999999))",False,False,False,False,,,
001_063,2023-08-05,2023-08-05T14:31:44.189620+00:00,LC08_L1TP_001063_20230805_20230812_02_T1,20.42,True,5.839,South and Central America,"POLYGON Z ((-66.2 -3.407000000000001 6999.999999999999, -64.5 -3.654 6999.999999999999, -64.843 -5.27 6999.999999999999, -66.546 -5.023 6999.999999999999, -66.2 -3.407000000000001 6999.999999999999))",False,False,False,False,,,
001_064,2022-12-24,2022-12-24T14:32:39.766746+00:00,LC08_L1TP_001064_20221224_20230103_02_T1,73.06,False,5.401,South and Central America,"POLYGON Z ((-66.509 -4.853 6999.999999999999, -64.806 -5.101 6999.999999999999, -65.149 -6.716 6999.999999999999, -66.857 -6.468 6999.999999999999, -66.509 -4.853 6999.999999999999))",False,False,False,False,,,
001_064,2023-12-19,2023-12-19T14:32:36.817896+00:00,LC09_L1TP_001064_20231219_20231219_02_T1,27.6,False,5.016,South and Central America,"POLYGON Z ((-66.509 -4.853 6999.999999999999, -64.806 -5.101 6999.999999999999, -65.149 -6.716 6999.999999999999, -66.857 -6.468 6999.999999999999, -66.509 -4.853 6999.999999999999))",False,False,False,False,,,
002_053,2022-05-21,2022-05-21T14:34:00.929842+00:00,LC08_L1TP_002053_20220521_20220525_02_T1,26.58,True,5.042,South and Central America,"POLYGON Z ((-64.67 11.054 6999.999999999999, -62.94199999999999 10.803 6999.999999999999, -63.296 9.189 6999.999999999999, -65.017 9.439 6999.999999999999, -64.67 11.054 6999.999999999999))",False,False,False,False,,,
002_053,2024-12-04,2024-12-04T14:34:13.011616+00:00,LC08_L1TP_002053_20241204_20241210_02_T1,92.02,False,5.359,South and Central America,"POLYGON Z ((-64.67 11.054 6999.999999999999, -62.94199999999999 10.803 6999.999999999999, -63.296 9.189 6999.999999999999, -65.017 9.439 6999.999999999999, -64.67 11.054 6999.999999999999))",False,False,False,False,,,
002_054,2023-11-08,2023-11-08T14:34:38.716432+00:00,LC09_L1TP_002054_20231108_20231129_02_T1,35.22,True,5.364,South and Central America,"POLYGON Z ((-64.98 9.608 6999.999999999999, -63.25900000000001 9.358 6999.999999999999, -63.611 7.744 6999.999999999999, -65.325 7.993 6999.999999999999, -64.98 9.608 6999.999999999999))",False,False,False,False,,,
003_026,2024-05-09,2024-05-09T14:29:06.263366+00:00,LC09_L1TP_003026_20240509_20240509_02_T1,79.5,False,5.031,North America wo US,"POLYGON Z ((-55.84699999999999 49.841 6999.999999999999, -53.22499999999999 49.458 6999.999999999999, -53.906 47.882 6999.999999999999, -56.451 48.254 6999.999999999999, -55.84699999999999 49.841 6999.999999999999))",False,False,False,False,,,
003_027,2023-05-15,2023-05-15T14:29:10.196228+00:00,LC08_L1TP_003027_20230515_20230523_02_T1,15.05,False,5.343,North America wo US,"POLYGON Z ((-56.388 48.42 6999.999999999999, -53.837 48.048 6999.999999999999, -54.487 46.469 6999.999999999999, -56.966 46.831 6999.999999999999, -56.388 48.42 6999.999999999999))",False,False,False,False,,,
003_053,2022-02-13,2022-02-13T14:40:27.852200+00:00,LC09_L1TP_003053_20220213_20230427_02_T1,13.87,False,5.016,South and Central America,"POLYGON Z ((-66.215 11.054 6999.999999999999, -64.487 10.803 6999.999999999999, -64.842 9.189 6999.999999999999, -66.562 9.439 6999.999999999999, -66.215 11.054 6999.999999999999))",False,False,False,False,,,
003_054,2023-09-04,2023-09-04T14:40:37.480207+00:00,LC08_L1TP_003054_20230904_20230912_02_T1,15.95,False,4.308,South and Central America,"POLYGON Z ((-66.525 9.608 6999.999999999999, -64.804 9.358 6999.999999999999, -65.156 7.744 6999.999999999999, -66.87 7.993 6999.999999999999, -66.525 9.608 6999.999999999999))",False,False,False,False,,,
004_026,2022-04-09,2022-04-09T14:35:35.352460+00:00,LC09_L1GT_004026_20220409_20230422_02_T2,4.19,True,3.972,North America wo US,"POLYGON Z ((-57.39200000000001 49.841 6999.999999999999, -54.771 49.458 6999.999999999999, -55.451 47.882 6999.999999999999, -57.996 48.254 6999.999999999999, -57.39200000000001 49.841 6999.999999999999))",False,False,False,False,,,
004_053,2024-12-26,2024-12-26T14:46:36.685725+00:00,LC09_L1TP_004053_20241226_20241226_02_T1,10.34,False,4.03,South and Central America,"POLYGON Z ((-67.76 11.054 6999.999999999999, -66.032 10.803 6999.999999999999, -66.387 9.189 6999.999999999999, -68.107 9.439 6999.999999999999, -67.76 11.054 6999.999999999999))",False,False,False,False,,,
004_054,2024-09-05,2024-09-05T14:46:30.456985+00:00,LC09_L1GT_004054_20240905_20240905_02_T2,62.53,True,4.021,South and Central America,"POLYGON Z ((-68.07 9.608 6999.999999999999, -66.349 9.358 6999.999999999999, -66.702 7.744 6999.999999999999, -68.415 7.993 6999.999999999999, -68.07 9.608 6999.999999999999))",False,False,False,False,,,
004_068,2022-12-05,2022-12-05T14:52:50.650951+00:00,LC09_L1TP_004068_20221205_20230318_02_T1,19.59,False,4.078,South and Central America,"POLYGON Z ((-72.401 -10.634 6999.999999999999, -70.673 -10.885 6999.999999999999, -71.021 -12.5 6999.999999999999, -72.759 -12.247 6999.999999999999, -72.401 -10.634 6999.999999999999))",False,False,False,False,,,
005_054,2022-03-31,2022-03-31T14:52:57.576296+00:00,LC09_L1TP_005054_20220331_20230423_02_T1,20.79,False,4.943,South and Central America,"POLYGON Z ((-69.615 9.608 6999.999999999999, -67.895 9.358 6999.999999999999, -68.247 7.744 6999.999999999999, -69.96 7.993 6999.999999999999, -69.615 9.608 6999.999999999999))",False,False,False,False,,,
005_054,2023-04-03,2023-04-03T14:52:58.079761+00:00,LC09_L1TP_005054_20230403_20230403_02_T1,26.35,False,3.658,South and Central America,"POLYGON Z ((-69.615 9.608 6999.999999999999, -67.895 9.358 6999.999999999999, -68.247 7.744 6999.999999999999, -69.96 7.993 6999.999999999999, -69.615 9.608 6999.999999999999))",False,False,False,False,,,
005_055,2022-08-14,2022-08-14T14:53:55.799863+00:00,LC08_L1GT_005055_20220814_20220823_02_T2,90.83,False,4.139,South and Central America,"POLYGON Z ((-69.923 8.162 6999.999999999999, -68.21 7.913 6999.999999999999, -68.56 6.299 6999.999999999999, -70.267 6.547 6999.999999999999, -69.923 8.162 6999.999999999999))",False,False,False,False,,,
005_055,2024-01-08,2024-01-08T14:53:30.753214+00:00,LC08_L1TP_005055_20240108_20240122_02_T1,4.52,False,4.833,South and Central America,"POLYGON Z ((-69.923 8.162 6999.999999999999, -68.21 7.913 6999.999999999999, -68.56 6.299 6999.999999999999, -70.267 6.547 6999.999999999999, -69.923 8.162 6999.999999999999))",False,False,False,False,,,
005_056,2024-05-23,2024-05-23T14:53:14.815348+00:00,LC09_L1TP_005056_20240523_20240523_02_T1,71.4,True,5.206,South and Central America,"POLYGON Z ((-70.231 6.716 6999.999999999999, -68.523 6.468 6999.999999999999, -68.871 4.853 6999.999999999999, -70.574 5.101 6999.999999999999, -70.231 6.716 6999.999999999999))",False,False,False,False,,,
005_068,2023-12-15,2023-12-15T14:58:54.426856+00:00,LC09_L1GT_005068_20231215_20231215_02_T2,69.58,False,3.929,South and Central America,"POLYGON Z ((-73.946 -10.634 6999.999999999999, -72.218 -10.885 6999.999999999999, -72.566 -12.5 6999.999999999999, -74.304 -12.247 6999.999999999999, -73.946 -10.634 6999.999999999999))",False,False,False,False,,,
005_068,2024-04-21,2024-04-21T14:58:18.088377+00:00,LC09_L1TP_005068_20240421_20240421_02_T1,22.85,False,5.468,South and Central America,"POLYGON Z ((-73.946 -10.634 6999.999999999999, -72.218 -10.885 6999.999999999999, -72.566 -12.5 6999.999999999999, -74.304 -12.247 6999.999999999999, -73.946 -10.634 6999.999999999999))",False,False,False,False,,,
006_052,2022-10-16,2022-10-16T14:58:50.310771+00:00,LC09_L1TP_006052_20221016_20230325_02_T1,23.41,True,5.127,South and Central America,"POLYGON Z ((-70.539 12.5 6999.999999999999, -68.802 12.247 6999.999999999999, -69.159 10.634 6999.999999999999, -70.887 10.885 6999.999999999999, -70.539 12.5 6999.999999999999))",False,False,False,False,,,
006_052,2024-05-30,2024-05-30T14:57:45.543349+00:00,LC09_L1TP_006052_20240530_20240530_02_T1,70.42,False,5.113,South and Central America,"POLYGON Z ((-70.539 12.5 6999.999999999999, -68.802 12.247 6999.999999999999, -69.159 10.634 6999.999999999999, -70.887 10.885 6999.999999999999, -70.539 12.5 6999.999999999999))",False,False,False,False,,,
006_053,2022-09-30,2022-09-30T14:59:09.235163+00:00,LC09_L1TP_006053_20220930_20230327_02_T1,81.12,False,5.079,South and Central America,"POLYGON Z ((-70.85 11.054 6999.999999999999, -69.122 10.803 6999.999999999999, -69.477 9.189 6999.999999999999, -71.197 9.439 6999.999999999999, -70.85 11.054 6999.999999999999))",False,False,False,False,,,
006_055,2023-05-12,2023-05-12T14:59:13.578588+00:00,LC09_L1TP_006055_20230512_20230512_02_T1,74.2,False,5.051,South and Central America,"POLYGON Z ((-71.468 8.162 6999.999999999999, -69.755 7.913 6999.999999999999, -70.105 6.299 6999.999999999999, -71.812 6.547 6999.999999999999, -71.468 8.162 6999.999999999999))",False,False,False,False,,,
006_055,2024-08-26,2024-08-26T14:59:20.457545+00:00,LC08_L1TP_006055_20240826_20240831_02_T1,32.56,False,4.946,South and Central America,"POLYGON Z ((-71.468 8.162 6999.999999999999, -69.755 7.913 6999.999999999999, -70.105 6.299 6999.999999999999, -71.812 6.547 6999.999999999999, -71.468 8.162 6999.999999999999))",False,False,False,False,,,
006_056,2024-01-23,2024-01-23T15:00:11.852693+00:00,LC09_L1TP_006056_20240123_20240123_02_T1,0.01,False,5.062,South and Central America,"POLYGON Z ((-71.776 6.716 6999.999999999999, -70.068 6.468 6999.999999999999, -70.416 4.853 6999.999999999999, -72.119 5.101 6999.999999999999, -71.776 6.716 6999.999999999999))",False,False,False,False,,,
006_057,2022-12-27,2022-12-27T15:00:47.558272+00:00,LC08_L1TP_006057_20221227_20230113_02_T1,4.67,False,5.416,South and Central America,"POLYGON Z ((-72.083 5.27 6999.999999999999, -70.379 5.023 6999.999999999999, -70.726 3.407000000000001 6999.999999999999, -72.425 3.654 6999.999999999999, -72.083 5.27 6999.999999999999))",False,False,False,False,,,
006_057,2024-03-11,2024-03-11T15:00:33.598614+00:00,LC09_L1TP_006057_20240311_20240311_02_T1,63.96,False,5.073,South and Central America,"POLYGON Z ((-72.083 5.27 6999.999999999999, -70.379 5.023 6999.999999999999, -70.726 3.407000000000001 6999.999999999999, -72.425 3.654 6999.999999999999, -72.083 5.27 6999.999999999999))",False,False,False,False,,,
006_058,2022-06-10,2022-06-10T15:00:20.322502+00:00,LC09_L1TP_006058_20220610_20230413_02_T1,31.57,True,5.095,South and Central America,"POLYGON Z ((-72.389 3.824 6999.999999999999, -70.689 3.577 6999.999999999999, -71.034 1.961 6999.999999999999, -72.732 2.208 6999.999999999999, -72.389 3.824 6999.999999999999))",False,False,False,False,,,
006_058,2024-08-18,2024-08-18T15:00:27.186293+00:00,LC09_L1TP_006058_20240818_20240818_02_T1,6.76,False,5.072,South and Central America,"POLYGON Z ((-72.389 3.824 6999.999999999999, -70.689 3.577 6999.999999999999, -71.034 1.961 6999.999999999999, -72.732 2.208 6999.999999999999, -72.389 3.824 6999.999999999999))",False,False,False,False,,,
006_063,2024-07-09,2024-07-09T15:02:09.753270+00:00,LC08_L1TP_006063_20240709_20240718_02_T1,71.19,False,3.777,South and Central America,"POLYGON Z ((-73.925 -3.407000000000001 6999.999999999999, -72.225 -3.654 6999.999999999999, -72.568 -5.27 6999.999999999999, -74.271 -5.023 6999.999999999999, -73.925 -3.407000000000001 6999.999999999999))",False,False,False,False,,,
006_064,2022-06-02,2022-06-02T15:03:11.648537+00:00,LC08_L1TP_006064_20220602_20220609_02_T1,52.3,False,4.137,South and Central America,"POLYGON Z ((-74.235 -4.853 6999.999999999999, -72.532 -5.101 6999.999999999999, -72.875 -6.716 6999.999999999999, -74.583 -6.468 6999.999999999999, -74.235 -4.853 6999.999999999999))",False,False,False,False,,,
006_064,2023-04-02,2023-04-02T15:02:55.669982+00:00,LC08_L1GT_006064_20230402_20230412_02_T2,30.9,True,4.118,South and Central America,"POLYGON Z ((-74.235 -4.853 6999.999999999999, -72.532 -5.101 6999.999999999999, -72.875 -6.716 6999.999999999999, -74.583 -6.468 6999.999999999999, -74.235 -4.853 6999.999999999999))",False,False,False,False,,,
006_066,2022-09-22,2022-09-22T15:04:37.556329+00:00,LC08_L1TP_006066_20220922_20220929_02_T1,3.07,False,4.141,South and Central America,"POLYGON Z ((-74.859 -7.744 6999.999999999999, -73.146 -7.993 6999.999999999999, -73.491 -9.608 6999.999999999999, -75.211 -9.358 6999.999999999999, -74.859 -7.744 6999.999999999999))",False,False,False,False,,,
007_052,2022-09-21,2022-09-21T15:04:54.690643+00:00,LC09_L1TP_007052_20220921_20230328_02_T1,15.28,False,4.151,South and Central America,"POLYGON Z ((-72.085 12.5 6999.999999999999, -70.347 12.247 6999.999999999999, -70.704 10.634 6999.999999999999, -72.432 10.885 6999.999999999999, -72.085 12.5 6999.999999999999))",False,False,False,False,,,
