Name,geometry,EI_region,OG_producing
10SEJ,"POLYGON Z ((-123.0002334544 39.7502679266 0, -121.7187196513 39.7431961917 0, -121.7365967808 38.7540360478 0, -123.000230196 38.7608644567 0, -123.0002334544 39.7502679266 0))",USA,True
10SGD,"POLYGON Z ((-120.8028975672 35.2231329166 0, -119.598005186 35.1952508288 0, -119.6382696659 34.2068165369 0, -120.8289365255 34.2336950624 0, -120.8028975672 35.2231329166 0))",USA,True
10SGE,"POLYGON Z ((-120.7780477118 36.124284255 0, -119.5595812636 36.0954669932 0, -119.6016716521 35.1072181615 0, -120.8052687156 35.1350099022 0, -120.7780477118 36.124284255 0))",USA,True
11SKU,"POLYGON Z ((-120.2951835442 35.1982077222 0, -119.0901471721 35.2250276976 0, -119.0653735271 34.235521621 0, -120.2561776636 34.2096670331 0, -120.2951835442 35.1982077222 0))",USA,True
11SKV,"POLYGON Z ((-120.3324065876 36.0985230303 0, -119.1137895726 36.1262426116 0, -119.0878912417 35.1368985412 0, -120.2916316773 35.1101654766 0, -120.3324065876 36.0985230303 0))",USA,True
12SVJ,"POLYGON Z ((-112.1676247275 39.7443952014 0, -110.8860743698 39.7502120214 0, -110.8876644379 38.7608104753 0, -112.1513324821 38.755193805 0, -112.1676247275 39.7443952014 0))",USA,True
12SWH,"POLYGON Z ((-111.0002304798 38.8489984834 0, -109.7350398852 38.8421486724 0, -109.7521345913 37.8528295029 0, -111.0002273641 37.8594419589 0, -111.0002304798 38.8489984834 0))",USA,True
12SWJ,"POLYGON Z ((-111.0002334544 39.7502679266 0, -109.7187196513 39.7431961917 0, -109.7365967808 38.7540360478 0, -111.000230196 38.7608644567 0, -111.0002334544 39.7502679266 0))",USA,True
12SXH,"POLYGON Z ((-109.8477094787 38.8433146054 0, -108.5832677968 38.8239923461 0, -108.6159000287 37.8353021099 0, -109.8632824087 37.8539550377 0, -109.8477094787 38.8433146054 0))",USA,True
12SXJ,"POLYGON Z ((-109.8328420445 39.7443998961 0, -108.5521150239 39.7244518411 0, -108.5862397213 38.7359364307 0, -109.8491277804 38.7551983381 0, -109.8328420445 39.7443998961 0))",USA,True
12SYE,"POLYGON Z ((-108.7780477118 36.124284255 0, -107.5595812636 36.0954669932 0, -107.6016716521 35.1072181615 0, -108.8052687156 35.1350099022 0, -108.7780477118 36.124284255 0))",USA,True
12SYF,"POLYGON Z ((-108.752069457 37.0252843026 0, -107.5194144911 36.9955106534 0, -107.5634139803 36.0074510114 0, -108.7805264921 36.0361759149 0, -108.752069457 37.0252843026 0))",USA,True
12SYG,"POLYGON Z ((-108.7249265393 37.9255905472 0, -107.477449085 37.8948386585 0, -107.5234456557 36.9069718126 0, -108.7546767104 36.9366503972 0, -108.7249265393 37.9255905472 0))",USA,True
12SYH,"POLYGON Z ((-108.6965295969 38.8262817083 0, -107.4335472033 38.7945272395 0, -107.48163776 37.8068570321 0, -108.7276358074 37.8375121853 0, -108.6965295969 38.8262817083 0))",USA,True
