mgrs,date,datetime,ID,cloud_percent
09UXA,2022-10-31,2022-10-31T19:49:30.840000+00:00,S2B_9UXA_20221031_0_L1C,31.2939174057153
09UXB,2023-03-05,2023-03-05T19:49:14.774000+00:00,S2A_9UXB_20230305_0_L1C,7.76069754247663
09UXR,2023-11-27,2023-11-27T19:40:40.627000+00:00,S2A_9UXR_20231127_0_L1C,49.3263758248977
09UXS,2023-08-14,2023-08-14T19:40:39.047000+00:00,S2B_9UXS_20230814_0_L1C,11.2320762041267
09UXT,2023-08-24,2023-08-24T19:40:22.880000+00:00,S2B_9UXT_20230824_0_L1C,0.580907163546239
09UXU,2023-06-25,2023-06-25T19:40:09.026000+00:00,S2B_9UXU_20230625_0_L1C,0.0
09UXV,2023-10-13,2023-10-13T19:39:52.067000+00:00,S2B_9UXV_20231013_0_L1C,25.4192421392099
09UYV,2023-10-25,2023-10-25T19:29:49.056000+00:00,S2A_9UYV_20231025_0_L1C,0.28619564309221
09VWE,2022-06-01,2022-06-01T19:58:44.670000+00:00,S2A_9VWE_20220601_0_L1C,19.4458180298008
09VWF,2022-09-04,2022-09-04T19:58:24.080000+00:00,S2B_9VWF_20220904_0_L1C,34.2327629968049
09VXC,2021-12-30,2021-12-30T19:49:05.665000+00:00,S2A_9VXC_20211230_0_L1C,43.7236
09VXD,2023-11-15,2023-11-15T19:48:49.007000+00:00,S2B_9VXD_20231115_0_L1C,25.584848756308
10SEG,2021-12-30,2021-12-30T19:04:05.442000+00:00,S2B_10SEG_20211230_1_L1C,1.55988533548329
10SEH,2022-06-18,2022-06-18T19:03:59.168000+00:00,S2B_10SEH_20220618_0_L1C,13.6246827316432
10SFG,2022-02-13,2022-02-13T19:04:06.123000+00:00,S2A_10SFG_20220213_0_L1C,0.104780674251247
10SFH,2022-10-11,2022-10-11T19:03:57.027000+00:00,S2A_10SFH_20221011_0_L1C,0.522888112514557
10TDR,2022-12-21,2022-12-21T19:21:55.295000+00:00,S2B_10TDR_20221221_0_L1C,2.43139538355878
10TDS,2023-09-02,2023-09-02T19:21:47.209000+00:00,S2A_10TDS_20230902_0_L1C,5.63898593568037
10TDT,2023-08-13,2023-08-13T19:21:32.764000+00:00,S2A_10TDT_20230813_0_L1C,0.0
10TER,2022-02-11,2022-02-11T19:11:49.870000+00:00,S2B_10TER_20220211_0_L1C,3.844993878587
10TES,2023-11-23,2023-11-23T19:11:35.991000+00:00,S2B_10TES_20231123_0_L1C,19.5541222490967
10TET,2022-03-31,2022-03-31T19:21:25.401000+00:00,S2A_10TET_20220331_0_L1C,45.6521246465771
10TFK,2023-01-24,2023-01-24T19:03:20.577000+00:00,S2B_10TFK_20230124_0_L1C,0.0326973035922243
10TFP,2023-06-03,2023-06-03T19:02:28.606000+00:00,S2B_10TFP_20230603_0_L1C,0.219780427031609
10TFQ,2023-03-18,2023-03-18T19:12:10.082000+00:00,S2B_10TFQ_20230318_0_L1C,0.0
10TFR,2023-04-27,2023-04-27T19:11:53.634000+00:00,S2B_10TFR_20230427_0_L1C,41.4699453551913
10TFS,2022-07-01,2022-07-01T19:11:42.819000+00:00,S2B_10TFS_20220701_0_L1C,4.58980560781152
10TFT,2022-04-17,2022-04-17T19:11:27.040000+00:00,S2A_10TFT_20220417_0_L1C,6.40010152587417
