mgrs,season,date,region,Unnamed: 0
17SKD,spring,2023-03-21,marcellus,
17SKD,summer,2023-06-21,marcellus,
17SKD,fall,2023-09-21,marcellus,
17SKD,winter,2023-12-21,marcellus,
16SGJ,spring,2023-03-21,marcellus,
16SGJ,summer,2023-06-21,marcellus,
16SGJ,fall,2023-09-21,marcellus,
16SGJ,winter,2023-12-21,marcellus,
17SKC,spring,2023-03-21,marcellus,
17SKC,summer,2023-06-21,marcellus,
17SKC,fall,2023-09-21,marcellus,
17SKC,winter,2023-12-21,marcellus,
16SGH,spring,2023-03-21,marcellus,
16SGH,summer,2023-06-21,marcellus,
16SGH,fall,2023-09-21,marcellus,
16SGH,winter,2023-12-21,marcellus,
17SKB,spring,2023-03-21,marcellus,
17SKB,summer,2023-06-21,marcellus,
17SKB,fall,2023-09-21,marcellus,
17SKB,winter,2023-12-21,marcellus,
16SGG,spring,2023-03-21,marcellus,
16SGG,summer,2023-06-21,marcellus,
16SGG,fall,2023-09-21,marcellus,
16SGG,winter,2023-12-21,marcellus,
16SFJ,spring,2023-03-21,marcellus,
16SFJ,summer,2023-06-21,marcellus,
16SFJ,fall,2023-09-21,marcellus,
16SFJ,winter,2023-12-21,marcellus,
16SFH,spring,2023-03-21,marcellus,
16SFH,summer,2023-06-21,marcellus,
16SFH,fall,2023-09-21,marcellus,
16SFH,winter,2023-12-21,marcellus,
17SKV,spring,2023-03-21,marcellus,
17SKV,summer,2023-06-21,marcellus,
17SKV,fall,2023-09-21,marcellus,
17SKV,winter,2023-12-21,marcellus,
16SFG,spring,2023-03-21,marcellus,
16SFG,summer,2023-06-21,marcellus,
16SFG,fall,2023-09-21,marcellus,
16SFG,winter,2023-12-21,marcellus,
16SGE,spring,2023-03-21,marcellus,
16SGE,summer,2023-06-21,marcellus,
16SGE,fall,2023-09-21,marcellus,
16SGE,winter,2023-12-21,marcellus,
16SFF,spring,2023-03-21,marcellus,
16SFF,summer,2023-06-21,marcellus,
16SFF,fall,2023-09-21,marcellus,
16SFF,winter,2023-12-21,marcellus,
17SKU,spring,2023-03-21,marcellus,
17SKU,summer,2023-06-21,marcellus,
17SKU,fall,2023-09-21,marcellus,
17SKU,winter,2023-12-21,marcellus,
16SEJ,spring,2023-03-21,marcellus,
16SEJ,summer,2023-06-21,marcellus,
16SEJ,fall,2023-09-21,marcellus,
16SEJ,winter,2023-12-21,marcellus,
16SEH,spring,2023-03-21,marcellus,
16SEH,summer,2023-06-21,marcellus,
16SEH,fall,2023-09-21,marcellus,
16SEH,winter,2023-12-21,marcellus,
16SGD,spring,2023-03-21,marcellus,
16SGD,summer,2023-06-21,marcellus,
16SGD,fall,2023-09-21,marcellus,
16SGD,winter,2023-12-21,marcellus,
16SFE,spring,2023-03-21,marcellus,
16SFE,summer,2023-06-21,marcellus,
16SFE,fall,2023-09-21,marcellus,
16SFE,winter,2023-12-21,marcellus,
16SEG,spring,2023-03-21,marcellus,
16SEG,summer,2023-06-21,marcellus,
16SEG,fall,2023-09-21,marcellus,
16SEG,winter,2023-12-21,marcellus,
17SKT,spring,2023-03-21,marcellus,
17SKT,summer,2023-06-21,marcellus,
17SKT,fall,2023-09-21,marcellus,
17SKT,winter,2023-12-21,marcellus,
16SEF,spring,2023-03-21,marcellus,
16SEF,summer,2023-06-21,marcellus,
16SEF,fall,2023-09-21,marcellus,
16SEF,winter,2023-12-21,marcellus,
16SFD,spring,2023-03-21,marcellus,
16SFD,summer,2023-06-21,marcellus,
16SFD,fall,2023-09-21,marcellus,
16SFD,winter,2023-12-21,marcellus,
16SGC,spring,2023-03-21,marcellus,
16SGC,summer,2023-06-21,marcellus,
16SGC,fall,2023-09-21,marcellus,
16SGC,winter,2023-12-21,marcellus,
16SDJ,spring,2023-03-21,marcellus,
16SDJ,summer,2023-06-21,marcellus,
16SDJ,fall,2023-09-21,marcellus,
16SDJ,winter,2023-12-21,marcellus,
16SDH,spring,2023-03-21,marcellus,
16SDH,summer,2023-06-21,marcellus,
16SDH,fall,2023-09-21,marcellus,
16SDH,winter,2023-12-21,marcellus,
16SEE,spring,2023-03-21,marcellus,
16SEE,summer,2023-06-21,marcellus,
16SEE,fall,2023-09-21,marcellus,
16SEE,winter,2023-12-21,marcellus,
17SKS,spring,2023-03-21,marcellus,
17SKS,summer,2023-06-21,marcellus,
17SKS,fall,2023-09-21,marcellus,
17SKS,winter,2023-12-21,marcellus,
16SDG,spring,2023-03-21,marcellus,
16SDG,summer,2023-06-21,marcellus,
16SDG,fall,2023-09-21,marcellus,
16SDG,winter,2023-12-21,marcellus,
16SFC,spring,2023-03-21,marcellus,
16SFC,summer,2023-06-21,marcellus,
16SFC,fall,2023-09-21,marcellus,
16SFC,winter,2023-12-21,marcellus,
16SGB,spring,2023-03-21,marcellus,
16SGB,summer,2023-06-21,marcellus,
16SGB,fall,2023-09-21,marcellus,
16SGB,winter,2023-12-21,marcellus,
16SDF,spring,2023-03-21,marcellus,
16SDF,summer,2023-06-21,marcellus,
